Name,Rating,Review,Address
Chop 'S'tick Restaurant,3.9,(204),"Plot No.23A, Ceasar Rd, opp. IDBI Bank, Dhakoji Sethpada, Amboli, Andheri West, Mumbai, Maharashtra 400058"
Krishna Chhaya Restaurant & Bar,3.7,(255),"Shop No. 1, Mona junction, off JP road, New Dadabhai Rd, near Navrang Talkies, Andheri West, Mumbai, Maharashtra 400058"
ARWAH RESTAURANT,4.2,(160),"Shop no.2&3 Business Point Opp. Subway, Swami Vivekananda Rd, near DCB Bank, Andheri West, Mumbai, Maharashtra 400058"
Swagat Family Restaurant & Bar,3.5,(16),"4RFR+QVC, Opposite ICICI Bank, JP Rd, near Navrang Cinema, Fish Market Area, Navneeth Colony, Andheri West, Mumbai, Maharashtra 400047"
The Chef Choice,4.7,(19),"Shop No. 4, Ruby Palace, Ceasar Road Amboli, Andheri (W, opp. Filmalaya Studio, Mumbai, Maharashtra 400058"
Lucky Restaurant,3.8,"(1,154)","Railway Station, 1, Sadanand Building, Swami Vivekananda Road Near Andheri, Andheri West, Mumbai, Maharashtra 400058"
Victory Restaurant,4.0,"(1,141)","Sujata Mansion, Swami Vivekananda Rd, Opp. Arasa Shopping Centre, Andheri West, Mumbai, Maharashtra 400058"
Ratnagiri Restaurant & Bar,3.7,(901),"Bhagwan Bhuwan, Sir Mathuradas Vasanji Rd, opp. police station, Andheri East, Mumbai, Maharashtra 400069"
Moti Mahal Restaurant,3.9,"(2,262)","Gazdar Apartments, 208, Opposite Andheri Railway Station, Next to Time Chambers, Swami Vivekananda Rd, Andheri West, Mumbai, Maharashtra 400058"
Bistro Restaurant,4.3,(40),"400047, Old D N Nagar, Munshi Nagar, Andheri West, Mumbai, Maharashtra"
Surabhi Bar & Restaurant,4.0,(206),"Mishra Kunj, Opposite Raj Chambers,, Near Andheri Subway, Nagardas Cross Road, Andheri (East),, Mumbai, Maharashtra 400069"
Sabri Restaurant,3.9,(527),"Swami Vivekananda Rd, near Sabri Masjid, Patilwadi, Jogeshwari West, Mumbai, Maharashtra 400102"
Sai Krishna Pure Veg Restaurant,4.2,(5),"Suvidha Square Building Shop No. 13, S. V. Road, Amboli Phatak, Amboli Naka, Andheri West, Mumbai, Maharashtra 400058"
Vrindavan Veg Restaurant,4.3,"(11,238)","New Dadabhai Road Near Bhavan's College Main Gate, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400058"
Cafe Alfa,3.9,(979),"188,Rajesh center, Swami Vivekananda Rd, opp. NADCO Shopping Centre, near railway station, Andheri West, Mumbai, Maharashtra 400058"
Cafe Savera Restaurant,4.0,(935),"Cafe savera, SH-2, Sukhmani Building, Swami Vivekananda Rd, Shree Ram Nagar, Andheri West, Mumbai, Maharashtra 400058"
Raj Restaurant and Bar,3.8,(237),"4RMX+XR7, Station Road, Caves Road, Navalkarwad, Jogeshwari East, Mumbai, Maharashtra 400060"
Shetty's Corner,4.1,(375),"Shop No. 5, Near, Bhavans College Rd, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400058"
House Of Food,3.8,(232),"Bhim Nagar Universal Industrial Estate, 8, JP Rd, Sahayog Society, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400058"
Jay Ambe Restaurant & Bar,4.0,(130),"Sonar Chawl, Police Station Rd, Near Western Highway, Ismail College Camps, Gandhi Nagar Society, Natwar Nagar, Jogeshwari East, Mumbai, Maharashtra 400060"
Cafe Bharat,3.9,(832),"Shetty Building, Swami Vivekananda Rd, Fish Market Area, Navneeth Colony, Andheri West, Mumbai, Maharashtra 400053"
Aditi Fast Food,3.2,(112),"1st Floor, B.S.T. Complex, A-Wing Opposite Andheri West Railway Station, Andheri East, Mumbai, Maharashtra 400069"
Sarvodaya Pure Veg Restaurant,4.1,"(2,817)","Shop Number 5 ,Vidya Villa Number 1, Old Nagardas Rd, Andheri East, Mumbai, Maharashtra 400069"
Bharat Restaurant Veg And Nonveg,3.5,(835),"Sahar Road, Railway Colony, Andheri East, near Railway Station, Mumbai, Maharashtra 400069"
Nootan pure Veg Restaurant,3.8,"(2,562)","Unity Mansion, opp. Railway Station, Railway Colony, Andheri West, Mumbai, Maharashtra 400058"
SHUBH SAGAR PURE VEG RESTAURANT,4.2,(62),"Andheri west Suvidha Square, Mumbai, Maharashtra 400058"
Bismillah Restaurant,4.0,(707),"4RPX+55R, Swami Vivekanand Road, Jogeshwari West, opp. Sabri Masjid, Mumbai, Maharashtra 400102"
Kings Bar & Restaurant Jogeshwari west,3.9,(303),"Station Rd, opposite Jogeshwari Station, Jogeshwari West, Mumbai, Maharashtra 400102"
Vilas Bar And Restaurant,3.8,(615),"New Link Road, Jivan Nagar, Next to Star Bazar, Near R.T.O., Andheri West, Mumbai, Maharashtra 400053"
Classic pure veg Andheri East,3.9,"(3,112)","Kranthi Cottage, 6, Old Nagardas Rd, opp. चिनाई कॉलेज, Andheri East, Mumbai, Maharashtra 400069"
Shiv Sagar,3.7,"(1,800)","Premson shopping Center, Caves road, near Station, Jogeshwari East, Mumbai, Maharashtra 400060"
Lume Restaurant And Bar,3.9,(475),"near 400069, Parsi Colony, Bima Nagar, Andheri East, Mumbai, Maharashtra 400069"
Sadguru restaurant,3.9,(269),"Shop No 5 Dinabhai Building, Station Rd, Jogeshwari East, Mumbai, Maharashtra 400060"
Sai Sagar Veg Restaurant,3.7,(16),"Mary Mansion, Padmashri Mohd Rafi Chowk Hill Road, Junction, Swami Vivekananda Rd, Bandra West, Mumbai, Maharashtra 400050"
